"p_cit","p_TL","p_TG","p_GL","p_Lind","p_res"
6.11330207387108e-07,3.82623299776739e-62,4.54137776196291e-07,1.08287001678747e-75,6.11330207387108e-07,"causal"
0.727810748942904,4.60455811154653e-48,0.727810748942904,5.21882250942517e-101,0.266471392064675," "
0.0508152594542062,8.8871277894522e-33,0.0508152594542062,2.24848865767252e-100,0.0168336341199425," "
1.03001773789945e-19,5.71816634549023e-120,1.9878906698503e-29,8.98738183563684e-26,1.03001773789945e-19,"causal"
4.86260744042784e-16,1.32228872310494e-87,1.13522290013853e-20,2.05876614280889e-51,4.86260744042784e-16,"causal"
5.1272730575816e-11,4.79192824349638e-65,5.1272730575816e-11,6.38487580301038e-69,3.88932845490855e-11,"causal"
8.57036548145108e-06,1.35108786575587e-47,8.57036548145108e-06,2.96534074363674e-94,1.47974603542407e-08,"causal"
1.61367474427727e-11,8.70437067858019e-26,1.37352003837467e-11,9.2557758600067e-96,1.61367474427727e-11,"causal"
0.74891390551875,0.738580590655146,0.313153014861042,1.30117742766203e-181,0.74891390551875," "
0.839124336204315,0.572011791063021,0.280397624371444,8.22262604078455e-173,0.839124336204315," "
0.568211146640386,0.533817666688653,0.341600901514029,1.53878941442359e-172,0.568211146640386," "
0.920441982921727,0.581485746941119,0.124285952928192,6.76636569010136e-171,0.920441982921727," "
0.773055718067773,0.411151524414931,0.440262136364146,1.87483583490655e-188,0.773055718067773," "
0.990669033350807,0.17353989588832,0.000403852676318579,8.28652003093025e-184,0.990669033350807," "
0.999659386019386,0.121689477599366,3.37052852613265e-09,4.83881705907209e-182,0.999659386019386," "
0.696304318343568,0.0346202428593533,0.57442887718638,1.59038803369118e-175,0.696304318343568," "
0.994980512092954,0.623772077138795,0.00208777227461999,5.66991777823503e-178,0.994980512092954," "
0.159167050024979,1.84678153377134e-05,0.00226255651656094,7.13659383349501e-178,0.159167050024979," "
0.999999993157948,1.50006071764645e-06,3.71790600148185e-28,1.09171347164451e-206,0.999999993157948," "
0.999999999999666,0.00109189594737527,6.64073500081414e-17,1.14582907559696e-196,0.999999999999666," "
0.999999999912306,0.0433942315084152,6.31896148695676e-10,3.41855979536011e-189,0.999999999912306," "
0.999999720478502,7.52479986172251e-05,4.11795431638229e-07,1.83035751618794e-178,0.999999720478502," "
0.999521088383775,0.000759950031949724,7.37904689650882e-05,1.21171848814109e-167,0.999521088383775," "
0.999999999999653,3.57561957524887e-94,2.32048546660681e-24,5.16171256855564e-167,0.999999999999653," "
0.999999999995618,1.83561101262381e-44,2.51059845976836e-13,3.25903553299894e-162,0.999999999995618," "
0.998988479697394,1.74336077113168e-55,0.00415065005337854,6.34832708512807e-142,0.998988479697394," "
0.9999999999943,3.50842175542037e-30,1.84235117147687e-14,2.13652972157913e-176,0.9999999999943," "
