"p_cit","p_TL","p_TG","p_GL","p_Lind","p_res"
0.999999255445688,0.275042551245258,7.05769470929503e-10,1.02103082054799e-06,0.999999255445688," "
0.901407796284634,0.901407796284634,0.0323577446438132,0.00639620661748979,0.26847437411897," "
0.743728773047913,0.23537303427672,0.325859708227818,1.14918211604555e-27,0.743728773047913," "
0.66819822985531,0.600478060148733,0.66819822985531,0.00175552671696064,0.352496355932106," "
0.916453472291908,0.652857068256369,0.15540929111857,2.23185270412789e-178,0.916453472291908," "
0.846825376021916,0.0868176397995929,0.846825376021916,3.21834781623458e-09,0.581373173958592," "
0.585264246400138,0.585264246400138,0.179631485978967,2.83914358287105e-05,0.128908379405281," "
0.999999999999999,0.729491828018552,3.08974835058687e-31,6.3833102547726e-23,0.999999999999999," "
0.888116014782095,0.763813278688936,0.888116014782095,5.3525956448107e-07,0.573163695618056," "
0.940317147998972,0.116773723413311,0.0505485292794405,4.45382413616451e-07,0.940317147998972," "
0.999998273129236,0.0169949115623151,8.48966348094914e-06,1.41488785350744e-07,0.999998273129236," "
0.987268200379144,0.0898148010655483,0.0370632332596842,7.90565521300212e-11,0.987268200379144," "
0.999999999266346,0.583225967580407,5.80717235568504e-13,6.56696640701724e-91,0.999999999266346," "
0.999999999999998,0.583305734784625,2.23786992980575e-47,8.58954822802846e-19,0.999999999999998," "
0.999999999999996,0.00494612136496329,6.19021042271626e-16,2.91934193132124e-95,0.999999999999996," "
0.999995277910021,0.768495783571125,7.35553535117066e-16,5.52985268443389e-05,0.999995277910021," "
0.844862006997115,0.844862006997115,0.100385703701898,6.65353077992771e-20,0.562653386144598," "
0.999745347445262,0.413841172332583,0.000561627894649812,0.00709444852038841,0.999745347445262," "
1,0.00513098404830382,1.17374797737911e-19,1.32086259666994e-08,1," "
1,0.0157871326695286,4.71205388057817e-18,1.60524495102544e-16,1," "
0.751643169003833,0.00872447136863638,0.536244284266314,8.03375016313197e-07,0.751643169003833," "
0.964142014449849,0.815152194355242,0.0221275345710989,2.30588533792069e-05,0.964142014449849," "
0.415396757251521,0.415396757251521,0.341346242673515,3.1858149105161e-13,0.213527491223544," "
0.0974759656448817,5.50165818489441e-08,2.3635772006585e-53,0.0974759656448817,5.18615039244052e-20," "
0.998694667439426,0.407487995322267,1.80599034253098e-05,2.3407420269968e-83,0.998694667439426," "
0.999968254293626,0.903876651942467,1.40257090037502e-11,4.39706210262319e-14,0.999968254293626," "
1,3.0809671999101e-06,8.25561874095438e-73,7.0541883065209e-146,1," "
0.992413226516723,0.641092241432616,0.000497987812121245,6.30454477926901e-26,0.992413226516723," "
0.997923165023118,5.14243448451803e-06,0.00100234177127459,2.17780925608577e-05,0.997923165023118," "
0.990861913920025,0.417597045115449,0.00437584344289549,1.6843772157523e-08,0.990861913920025," "
0.677834694862742,0.677834694862742,0.101971223780216,0.000135586237292291,0.0156256191690879," "
1,0.688407626552652,1.57993790234498e-26,1.52312165541233e-95,1," "
0.0826647075525439,0.0826647075525439,1.44523022247156e-07,7.81978714493496e-06,9.52129065020842e-07," "
0.362531425895161,0.362531425895161,7.63015427939764e-18,8.3246510150773e-05,2.80039716746866e-13," "
0.99998528786008,0.0128193085426515,0.000127811508546357,1.02152174022119e-117,0.99998528786008," "
0.999999999999977,0.122252764484712,1.70016299997047e-44,1.18487636090352e-97,0.999999999999977," "
0.35777496765693,0.35777496765693,1.7021466367198e-05,4.98884652231721e-09,2.82176954825827e-14," "
1,0.648359919036486,2.55765321183056e-22,1.55799424707995e-190,1," "
0.999999900884749,0.190851442002288,1.56618294615998e-07,4.37711407065091e-06,0.999999900884749," "
0.819971727656561,0.561338749736952,0.21539220177087,0.00401588795192926,0.819971727656561," "
0.0547962849152235,0.0409309525111511,0.0108150267122126,3.57427284098836e-177,0.0547962849152235," "
0.756598027624919,0.756598027624919,0.256884282395989,4.52925557630075e-06,0.11332502021143," "
0.996060903709465,0.057584093895741,0.00136892201505889,2.37368935683653e-265,0.996060903709465," "
0.999377754757872,0.51904784960985,8.88771517030038e-05,2.96065428071948e-83,0.999377754757872," "
1,0.977111381282921,3.85140722638117e-73,1.39571929430243e-36,1," "
0.994127685655228,0.470401575571354,0.00170930749593051,1.24287189981245e-179,0.994127685655228," "
0.999999479587259,0.245626668813227,3.72249514784033e-107,9.28245694300539e-06,0.999999479587259," "
1,0.578361012950696,6.48734629885017e-31,2.29665783186022e-129,1," "
0.999999999916656,0.640502907355912,3.90204480899661e-22,0.0017373832162713,0.999999999916656," "
0.942906130837017,0.942906130837017,0.00931176919454522,2.34966708856312e-06,0.902916651321535," "
0.991692703024459,0.0032627384571301,0.991692703024459,3.29309483694966e-05,0.467230460356266," "
0.104977520721434,0.104977520721434,7.92290599735894e-47,0.000101517818216668,1.70177687311827e-32," "
0.886570083587406,0.143717778184743,0.120936485013206,6.20912419139195e-82,0.886570083587406," "
0.207108673899722,0.207108673899722,7.46544874894966e-06,3.96750737673299e-16,1.40031277513735e-10," "
0.891617584142927,0.00358111767160309,0.189690987721793,5.68228127817115e-07,0.891617584142927," "
0.960656864136941,0.492248104779074,0.0529716871490092,1.08285364202508e-25,0.960656864136941," "
0.999600593897818,0.302685668367486,0.000935498412753317,9.53385440530055e-14,0.999600593897818," "
0.990771440438946,0.163814405825449,0.0219460925910814,2.86434695242394e-264,0.990771440438946," "
0.237897537308096,0.237897537308096,1.12491301897702e-22,2.46659562274071e-10,0.0179087321668151," "
0.998396037209309,0.998396037209309,0.790320635055612,1.8370059443533e-13,0.223628440346143," "
0.881472981393912,0.00018069195934699,0.881472981393912,3.33033315842528e-25,0.573109823703905," "
0.186826220260053,0.0795256290150152,0.186826220260053,1.4453891753613e-88,0.111795506039806," "
0.99820049004577,0.731649358493218,2.70643982799833e-07,1.37407718821213e-08,0.99820049004577," "
0.999961568796836,0.861686705613207,5.72791543689718e-05,5.47327898522731e-67,0.999961568796836," "
0.960141661255493,0.0362022191942827,0.102628682173909,1.80424713578625e-05,0.960141661255493," "
0.999982640202351,0.602775046236306,4.3530147547603e-06,4.00656827765822e-91,0.999982640202351," "
0.999346512156711,0.103244055313674,0.000169809846783207,9.48652190250811e-84,0.999346512156711," "
0.202609344140888,0.200930417837638,0.202609344140888,3.1556802387267e-06,0.132919255286057," "
0.834677334425924,0.000327533996899687,0.834677334425924,0.000145623202767586,0.458042300743797," "
1,0.636087241120648,2.21104957417786e-43,3.53861033506612e-17,1," "
0.99563596138684,0.801780656342561,3.9064885653748e-09,2.12502251449406e-11,0.99563596138684," "
0.337779125100179,0.337779125100179,4.23815423286906e-05,5.11828700917997e-09,5.85985110983041e-08," "
0.999999999016035,0.796386048728026,3.90643553378929e-10,1.6322218926648e-244,0.999999999016035," "
0.99999998146788,0.911023016536539,5.45353790328993e-24,6.71317820671872e-09,0.99999998146788," "
0.999949902341443,0.247418969117891,3.36694473744916e-14,8.91422185623967e-142,0.999949902341443," "
0.999917894482862,0.0505067000426058,5.2226377598075e-28,9.7452851762535e-57,0.999917894482862," "
1,0.245212238531179,3.87445052342242e-21,0.000138754217882768,1," "
0.999999999997691,0.656834752283258,9.39565384162357e-18,4.23461287088546e-05,0.999999999997691," "
