,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
355,0.753107180418989,0.179104103224569,0.753107180418989,2.86276645936409e-06,0.414514839096441, , ,0.0,0.18,0.21, 
358,1.0,0.0040664308350142,1.2034870214479e-64,2.10648618931497e-84,1.0, , ,0.0,0.09,1.0, 
364,1.0,0.212422480323525,9.600785130651589e-36,1.75008927105201e-21,1.0, , ,0.0,0.24,1.0, 
366,0.999999990549674,0.333731174706869,3.8796463037820505e-09,6.26815934534194e-15,0.999999990549674, , ,0.0,0.75,0.92, 
378,0.999999999464704,0.595274937171567,6.30556239382413e-19,6.29020334133803e-18,0.999999999464704, , ,0.0,0.63,0.51, 
384,0.316775079206179,0.316775079206179,5.21575723705092e-05,4.45379269813628e-12,9.630373138329959e-11, , ,0.0,0.63,0.69, 
385,0.763642633621718,0.115790566621012,0.0210971667465578,0.0,0.763642633621718, , ,0.0,0.13,0.91, 
387,0.998579500285508,0.721802167745413,2.63195539124028e-06,0.0049348450660595,0.998579500285508, , ,0.0,0.78,0.89, 
389,1.78340722143001e-10,1.78340722143001e-10,1.25661986379476e-99,3.04636509235888e-26,1.3940452206009099e-30,causal, ,0.0,0.0,0.0,causal
394,0.999997455394173,0.595954352211038,2.5682268541482397e-12,8.58094943484894e-07,0.999997455394173, , ,0.0,0.9,0.97, 
402,0.999998804741288,0.414523792350776,1.86075245959479e-10,3.13061361086465e-13,0.999998804741288, , ,0.0,0.7,0.36, 
405,0.336816299525036,0.336816299525036,0.0269990628516254,9.81481293026661e-55,0.0073738778710732, , ,0.0,0.49,0.08, 
410,0.99982575530018,0.44455863551726,1.05237530850725e-18,5.38010834184134e-34,0.99982575530018, , ,0.0,0.82,0.99, 
419,0.726040962708511,0.573591046494551,0.0022831208704236,5.3436656323990904e-39,0.726040962708511, , ,0.0,0.79,0.95, 
430,0.999998246472658,0.940689061911997,2.42535656409052e-09,7.440634417405581e-35,0.999998246472658, , ,0.0,0.95,0.14, 
