parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.4_0.4,0.981356674096487,0.861576410734896,0.0018038446216404,1.82547576773286e-25,0.981356674096487, , ,0.0,1.0,0.26, 
0.4_0.5,0.0618826631498942,0.0618826631498942,9.2355785952288e-05,6.29815827085862e-20,9.04773289922506e-06, , ,0.0,0.36,0.33, 
0.4_0.6,0.220321656884002,0.220321656884002,0.0361934615640021,3.64042309241232e-23,0.0101720569267249, , ,0.0,0.59,0.99, 
0.4_0.7,0.314642859124846,0.314642859124846,0.198848284615771,5.0054456398158703e-20,0.177048229624437, , ,0.0,0.41,0.06, 
0.4_0.8,0.959735186744695,0.166078251819406,0.144555821456841,5.07646121516742e-23,0.959735186744695, , ,0.0,0.44,0.03, 
0.4_0.9,0.0597792375644524,0.0597792375644524,1.19238657871497e-08,9.64867842196781e-13,2.4919999530801203e-10, , ,0.0,0.08,0.02, 
0.4_1,0.711895882530707,0.711895882530707,0.647079567126658,9.26408126372937e-31,0.335498392787572, , ,0.0,0.06,0.01, 
0.4_3,0.987858528002004,0.786879879238698,1.96899866696125e-06,3.69832924335178e-30,0.987858528002004, , ,0.0,0.08,0.09, 
0.5_0.1,0.776639227244059,0.511855573826934,0.457450967270146,6.85963472174315e-35,0.776639227244059, , ,0.0,0.47,0.19, 
0.5_0.2,0.950572402955227,0.423267590341833,0.0501892497264968,8.72048969339406e-36,0.950572402955227, , ,0.0,0.07,0.07, 
0.5_0.3,0.663071592874172,0.470130171221171,0.663071592874172,2.15435806325607e-29,0.64271680450858, , ,0.0,0.48,0.02, 
0.5_0.4,0.991486238488873,0.960934085627099,0.003941981191515,8.21754350863864e-38,0.991486238488873, , ,0.0,0.29,0.49, 
0.5_0.5,0.273968553488823,0.273968553488823,0.0461312486688834,4.10822144674889e-27,0.0127539206655659, , ,0.0,0.69,0.7, 
0.5_0.6,0.643902248381864,0.493048573873296,0.0005872754042559,9.642672030937889e-42,0.643902248381864, , ,0.0,0.32,0.09, 
0.5_0.7,0.809444689094358,0.809444689094358,0.0742724408962323,3.30937836804476e-32,0.695887487427502, , ,0.0,0.08,0.04, 
0.5_0.8,0.999969635099237,0.57131329639164,1.93558660856931e-09,1.3792516264885e-39,0.999969635099237, , ,0.0,0.95,0.1, 
0.5_0.9,0.987028576107515,0.731342046860523,0.0122162590939724,1.4995350976037899e-33,0.987028576107515, , ,0.0,0.06,0.92, 
0.5_1,0.572608420455318,0.572608420455318,0.0929623720542259,2.95858247117879e-38,0.111810168558888, , ,0.0,0.02,0.0,causal
0.5_3,0.999120168662049,0.713680209438216,7.26337988376224e-10,1.03109723360812e-36,0.999120168662049, , ,0.0,0.02,0.0,causal
0.6_0.1,0.897609283751656,0.729160431350347,0.0089772483363565,8.05742447320003e-53,0.897609283751656, , ,0.0,0.58,0.47, 
0.6_0.2,0.972086090969524,0.100932451168946,0.0353085844547226,7.70927943389665e-45,0.972086090969524, , ,0.0,0.25,0.62, 
0.6_0.3,0.923736731814784,0.231216118252758,0.108130219406014,3.5699544691902705e-46,0.923736731814784, , ,0.0,0.08,0.02, 
0.6_0.4,0.999999992188781,0.910953282940536,7.247303895041299e-14,9.63723547798328e-48,0.999999992188781, , ,0.0,0.09,0.64, 
0.6_0.5,0.485152392887893,0.485152392887893,0.0876623854326393,3.9515781289514902e-47,0.0144476878492342, , ,0.0,0.58,0.25, 
0.6_0.6,0.127957715098077,0.127957715098077,8.96778111495226e-06,4.65043708383197e-53,0.0896803561035687, , ,0.0,0.03,0.09, 
0.6_0.7,0.722424668723736,0.541206027665491,0.0027264222264186,5.43544297793895e-48,0.722424668723736, , ,0.0,0.14,0.0, 
0.6_0.8,0.987086715229657,0.428060134638109,0.0178257761426821,1.86522483042772e-53,0.987086715229657, , ,0.0,0.23,0.0, 
0.6_0.9,0.700925350687166,0.0697694955165829,0.700925350687166,6.58187350823564e-46,0.663316615922061, , ,0.0,0.16,0.47, 
0.6_1,0.0658587256132846,0.0658587256132846,4.68068347247301e-05,8.62957071173881e-51,0.000205389340358, , ,0.0,0.0,0.01,causal
0.6_3,0.999243815972847,0.987781938192226,1.05132433430865e-05,1.26814017858708e-52,0.999243815972847, , ,0.0,0.16,0.0, 
0.7_0.1,0.330625497638514,0.0075779094228069,0.330625497638514,7.33040323681353e-65,0.103101785428687, , ,0.0,0.05,1.0, 
0.7_0.2,0.987816608516048,0.718097669073305,0.0003502860091687,1.84627155285379e-78,0.987816608516048, , ,0.0,0.81,0.45, 
0.7_0.3,0.984815183700875,0.174631612866633,3.33283296696217e-14,1.70481930218937e-58,0.984815183700875, , ,0.0,0.0,0.44, 
0.7_0.4,0.827395850811074,0.804325057254761,0.0630817261359024,2.54306603104476e-68,0.827395850811074, , ,0.0,0.5,0.33, 
0.7_0.5,0.953943222044128,0.413862327095753,6.11251133629169e-06,4.03231822801919e-65,0.953943222044128, , ,0.0,0.18,0.23, 
0.7_0.6,0.99601807309655,0.965802718573565,0.000442349721339,9.04746102917111e-71,0.99601807309655, , ,0.0,0.0,0.01,causal
0.7_0.7,0.999160616755103,0.999160616755103,0.0452117280945298,3.0950917312157603e-59,0.98042178728319, , ,0.0,0.01,0.0,causal
0.7_0.8,0.74820586313688,0.223392894040802,1.08090080195534e-07,7.1990713663288e-52,0.74820586313688, , ,0.0,0.16,0.04, 
0.7_0.9,0.995884542543144,0.586129613501588,1.14827864445581e-05,3.73603874662947e-66,0.995884542543144, , ,0.0,0.01,0.62, 
0.7_1,0.147543678005649,0.147543678005649,0.0032322602998482,3.01493168208008e-53,2.57748646815628e-06, , ,0.0,0.0,0.04,causal
0.7_3,0.987839007127421,0.625181004802947,0.0043019801392788,7.19364456988002e-69,0.987839007127421, , ,0.0,0.0,0.0,causal
0.8_0.1,0.599368582418749,0.480491319498813,0.0224579934412143,2.3534743847800897e-77,0.599368582418749, , ,0.0,0.0,0.51, 
0.8_0.2,0.878557875865828,0.878557875865828,0.18822809001007,4.64590589972459e-88,0.812411769240717, , ,0.0,0.0,0.12, 
0.8_0.3,0.997117460292406,0.835971856472959,0.0002330061339514,7.59728365055952e-77,0.997117460292406, , ,0.0,0.03,0.62, 
0.8_0.4,0.99999406057449,0.980219835990299,1.38798333947086e-07,2.49416303371521e-87,0.99999406057449, , ,0.0,0.01,0.22, 
0.8_0.5,0.998445130503109,0.813009630169558,1.4640360753374e-06,1.58157431105064e-87,0.998445130503109, , ,0.0,0.0,0.74, 
0.8_0.6,0.173449043913495,0.0563519538452812,1.26772862856488e-06,1.92784580541641e-76,0.173449043913495, , ,0.0,0.01,0.0,causal
