,parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
64,0.6_1,7.297469889813371e-09,7.297469889813371e-09,1.0117149629405899e-160,3.9666406484038204e-14,1.2722800488068899e-49,causal, ,0.0,0.0,0.0,causal
65,0.6_3,0.0002537023313958,1.47697868836965e-16,0.0,0.0002537023313958,9.77309493132916e-150,causal, ,0.0,0.0,0.0,causal
66,0.7_0.1,0.996540255429492,0.968911357815849,0.0006537689415799,1.74321685631905e-29,0.996540255429492, , ,0.0,0.0,0.08, 
67,0.7_0.2,0.0107127592963372,0.0107127592963372,3.0015384693245403e-10,1.7581472370555602e-20,5.18148087932436e-12,causal, ,0.0,0.0,0.85, 
68,0.7_0.3,0.0323735944310901,0.0323735944310901,9.59035180136346e-22,5.79692461332276e-28,0.0163696066330713,causal, ,0.0,0.0,0.06, 
69,0.7_0.4,4.96784702718728e-06,4.96784702718728e-06,1.97142423348598e-35,1.62676088119622e-20,2.29008181300683e-27,causal, ,0.0,0.0,0.0,causal
70,0.7_0.5,1.86213262592339e-06,1.86213262592339e-06,1.08234964087043e-54,1.6897448037726701e-21,8.57107693945e-29,causal, ,0.0,0.0,0.0,causal
71,0.7_0.6,3.0943166150185e-15,3.0943166150185e-15,1.93606189021642e-71,1.62257723203916e-26,1.46918045391269e-80,causal, ,0.0,0.0,0.03,causal
72,0.7_0.7,6.59016989006843e-10,6.59016989006843e-10,7.82950856386781e-102,4.5517687394132505e-20,9.71770716408783e-59,causal, ,0.0,0.0,0.0,causal
73,0.7_0.8,4.2378528538796804e-09,4.2378528538796804e-09,2.02928724729145e-110,8.48113868856339e-10,1.5461678578416499e-86,causal, ,0.0,0.0,0.0,causal
74,0.7_0.9,1.30119668871783e-13,1.30119668871783e-13,4.61365271813856e-134,3.9065219791390505e-15,5.26287617435704e-108,causal, ,0.0,0.0,0.0,causal
75,0.7_1,2.2715028588279103e-15,1.0753864729944e-16,1.35583326963277e-139,2.2715028588279103e-15,3.5355613430121e-108,causal, ,0.0,0.0,0.0,causal
76,0.7_3,0.002644299958724,4.43915261612519e-25,0.0,0.002644299958724,1.67490077738191e-163,causal, ,0.0,0.0,0.0,causal
