parameters,p_cit,p_TL,p_TG,p_GL,p_Lind,p_res,1,2,3,4,5,6,results
0_3,0.670291330623347,5.738410750454681e-253,0.236852940069718,0.269548640604371,0.670291330623347, ,0.94,0.0,2.196398,2.2033377,0.081816144,0.090182, 
0.1_0,0.913155830901583,0.0783709351086462,0.806993985681682,0.913155830901583,0.510907662783408, ,0.9,0.2,0.010873645,0.011986558,0.002767929,0.0036206574, 
0.1_0.1,0.804722528376902,0.370761841455525,0.804722528376902,0.025002490489775,0.342160810950245, ,0.02,0.61,0.0055172704,0.0038444556,0.0020886047,0.0017147315, 
0.1_0.2,0.35722394883795,0.01404997207024,0.0017841582762566,0.35722394883795,0.0164350745731054, ,0.34,0.05,0.011276364,0.013475877,0.0029191163,0.0031353433, 
0.1_0.3,0.802697163327805,1.20654844675702e-09,0.802697163327805,0.218609093574014,0.610532144260626, ,0.34,0.0,0.0409863,0.04583926,0.00652737,0.006598448, 
0.1_0.4,0.205131702308455,7.928544985547831e-09,0.205131702308455,0.051005230806517,0.10613643354952, ,0.06,0.0,0.04363513,0.04690656,0.006516185,0.006525045, 
0.1_0.5,0.820589975108741,1.23238187685187e-18,0.820589975108741,0.0563597194135501,0.519099669233412, ,0.16,0.0,0.09149725,0.08898014,0.00903544,0.010807911, 
0.1_0.6,0.692761872786603,8.01764731466479e-26,0.692761872786603,0.16486430329597,0.389144669855359, ,0.08,0.0,0.13775524,0.11749438,0.013412584,0.011543101, 
0.1_0.7,0.710345825254634,1.6623327623056897e-30,0.597816526934168,0.15949100475074,0.710345825254634, ,0.04,0.0,0.15380475,0.15911633,0.013370432,0.014973422,causal
0.1_0.8,0.688958847305849,9.17772120807322e-35,0.390285392026466,0.043217298872291,0.688958847305849, ,0.25,0.0,0.17037216,0.17774883,0.015469582,0.01432933, 
0.1_0.9,0.896217908509982,9.05843007165793e-45,0.896217908509982,0.155171038285053,0.566939669314679, ,0.25,0.0,0.22867787,0.22457825,0.015418644,0.01612746, 
0.1_1,0.623196636501274,3.47272060288073e-54,0.623196636501274,0.11238819783153,0.535873472360199, ,0.34,0.0,0.3008462,0.26756737,0.02024056,0.018333737, 
0.1_3,0.80850587919581,1.5471614332975998e-259,0.80850587919581,0.345297678885536,0.42504334764288, ,0.09,0.0,2.3033113,2.3068976,0.08581927,0.085000604, 
0.2_0,0.647026086006815,0.0675675200788189,0.647026086006815,7.66838493358895e-05,0.24608857241602, ,0.0,0.04,0.022502666,0.009263843,0.005238848,0.004034099, 
0.2_0.1,0.892029137945635,0.3909544043172,0.892029137945635,0.087450138286759,0.502705814910422, ,0.21,0.59,0.0045706737,0.009338123,0.0018290094,0.0027708926, 
0.2_0.2,0.703761481069328,0.015754763184176,0.490178751267441,0.0073848440074697,0.703761481069328, ,0.02,0.0,0.018905474,0.011395995,0.0038353214,0.003549136, 
0.2_0.3,0.512890020722915,0.0006213844489539,0.512890020722915,0.0541426697682384,0.285924435558708, ,0.11,0.0,0.029971976,0.024880305,0.0058602677,0.004984708, 
0.2_0.4,0.869987195761832,9.175653789181559e-11,0.869987195761832,0.0008477306364694,0.417066914952103, ,0.0,0.0,0.04770647,0.05618831,0.008331587,0.0076388707,causal
0.2_0.5,0.745689156970673,1.7773347926257e-13,0.745689156970673,0.0103080008616347,0.500078226761423, ,0.02,0.0,0.06542258,0.073597245,0.00818977,0.008012474,causal
0.2_0.6,0.970908000594968,1.69939590020142e-32,0.970908000594968,0.0030644311521526,0.432180750268199, ,0.0,0.0,0.16931488,0.1706784,0.015441307,0.014941254,causal
0.2_0.7,0.343492271076857,7.39580809142222e-27,0.343492271076857,0.0341661217356036,0.178068884229923, ,0.06,0.0,0.13496292,0.13328893,0.011904902,0.01069934, 
0.2_0.8,0.893054229890431,4.05531026551416e-33,0.893054229890431,0.0001168027930584,0.539172942287143, ,0.0,0.0,0.16919011,0.16455829,0.013247187,0.014455298, 
0.2_0.9,0.566965413124874,1.99010460664575e-44,0.566965413124874,0.0001449449281423,0.28729480941854, ,0.0,0.0,0.23163678,0.22076955,0.016167423,0.016490318, 
0.2_1,0.805521109255515,6.80890406600736e-59,0.205874778771767,0.0004927768485119,0.805521109255515, ,0.0,0.0,0.30485326,0.31018674,0.01834825,0.019737642,causal
0.2_3,0.641996369521347,3.73706124546849e-251,0.641996369521347,0.0477941316790296,0.618638925302012, ,0.02,0.0,2.2072349,2.2166016,0.082227916,0.08185848,causal
0.3_0,0.353982510399867,0.0735525265370505,0.353982510399867,1.68013082996227e-08,0.195525861287922, ,0.0,0.12,0.011354433,0.015570131,0.0031624718,0.0037533294, 
0.3_0.1,0.469755590028666,0.259007631684792,0.469755590028666,4.97434628443438e-07,0.311285840699521, ,0.0,0.21,0.009622449,0.011107307,0.0024135893,0.0029738953, 
0.3_0.2,0.557279547993589,0.014520074596306,0.557279547993589,0.0011674369119133,0.291601571877003, ,0.0,0.02,0.014078818,0.0133619765,0.0038562575,0.004373178, 
0.3_0.3,0.851082067974797,2.96130289315603e-07,0.442636163700454,2.87796379626946e-07,0.851082067974797, ,0.0,0.0,0.03994666,0.038383957,0.0073630637,0.0062687113, 
0.3_0.4,0.0995450389192882,4.34030835883513e-15,0.0875950713129836,0.0004269549433669,0.0995450389192882, ,0.0,0.0,0.06682004,0.07737232,0.008828096,0.009108584,causal
0.3_0.5,0.162543038676319,8.20652663830324e-20,0.162543038676319,0.0005004041005549,0.131160750848619, ,0.0,0.0,0.09782417,0.10721841,0.011782021,0.011611625,causal
